ID	¿ÉÓÃ°æ±¾	Ð§¹ûÃû³Æ	ÃèÊö	Í¼±êÃû³Æ	´¥·¢Ìõ¼þ£¨Ä¬ÈÏ´¥·¢1£©	Ëù´¥·¢µÄ»ù´¡Ð§¹û1(values¿É¸²¸Ç)	Ëù´¥·¢µÄ»ù´¡Ð§¹û2(values¿É¸²¸Ç)	BaseActionValues1(ÎÞÓÃ)	BaseActionValues2(ÎÞÓÃ)	Keywords	×÷ÓÃÊ±»ú	Ï÷ÈõÊ±»ú	ActionTarget	BuffTarget	´¥·¢´ÎÊý(¿É¸²¸Ç)	Buff³ÖÐøÊ±¼ä(¿É¸²¸Ç)	ÉÏBUFFÌØÐ§	Ô¤ÈÈÌØÐ§	Ô¤ÈÈÄ¿±êÎ»×Ó	TargetVfx	VfxType	ÐÐÎª¿ªÊ¼µÄÑÓ³Ù	ÐÐÎª¼ä¸ôµÄÑÓ³Ù	ÌØÐ§µ½Ð§¹ûµÄÑÓ³Ù	´¥·¢´ÎÊý(²»¿ÉÉèÖÃ)	Buff³ÖÐøÊ±¼ä(²»¿ÉÉèÖÃ)	currentWordActionValue(²»¿ÉÉèÖÃ))	SourceCard(²»¿ÉÉèÖÃ))
int	float	string	string	string	Determine	BaseAction[]	BaseAction[]	string[]	string[]	List<string>	string	string	int	int	string	string	string	string	int	string	int	float	float	float	int	int	int	string
ID	CanUseVersion	Name	Description	IconName	Determine	BaseAction1	BaseAction2	BaseActionValues1	BaseActionValues2	Keywords	WorkTriggerName	CostTriggerName	ActionTarget	BuffTarget	PreActionWorkTime	PreBuffDuration	BuffOnVfx	PreheatingVfx	PreheatingVfxPos	TargetVfx	VfxType	StartDelay	ActionInterval	ActionDelay	actionWorkTime	BuffDuration	currentWordActionValue	SourceCard
ModHighActionID(1)	1	FireType	TypeDesc_Fire	typeFire	{"name":"null","values":[]}	null	null	null	null	["AK_Buff","AK_BottomBuff"]	WillBeAttacked	None	0	0	1	0	null	null	null	null	0	0	0	0	0	0	0	null
ModHighActionID(2)	1	WaterType	TypeDesc_Water	typeWater	{"name":"null","values":[]}	null	null	null	null	["AK_Buff","AK_BottomBuff"]	WillBeAttacked	None	0	0	1	0	null	null	null	null	0	0	0	0	0	0	0	null
ModHighActionID(3)	1	GrassType	TypeDesc_Grass	typeGrass	{"name":"null","values":[]}	null	null	null	null	["AK_Buff","AK_BottomBuff"]	WillBeAttacked	None	0	0	1	0	null	null	null	null	0	0	0	0	0	0	0	null
ModHighActionID(4)	1	ElectricType	TypeDesc_Electric	typeElectric	{"name":"null","values":[]}	null	null	null	null	["AK_Buff","AK_BottomBuff"]	WillBeAttacked	None	0	0	1	0	null	null	null	null	0	0	0	0	0	0	0	null
ModHighActionID(5)	1	PsychicType	TypeDesc_Psychic	typePsychic	{"name":"null","values":[]}	null	null	null	null	["AK_Buff","AK_BottomBuff"]	WillBeAttacked	None	0	0	1	0	null	null	null	null	0	0	0	0	0	0	0	null
ModHighActionID(6)	1	IceType	TypeDesc_Ice	typeIce	{"name":"null","values":[]}	null	null	null	null	["AK_Buff","AK_BottomBuff"]	WillBeAttacked	None	0	0	1	0	null	null	null	null	0	0	0	0	0	0	0	null
ModHighActionID(7)	1	DragonType	TypeDesc_Dragon	typeDragon	{"name":"null","values":[]}	null	null	null	null	["AK_Buff","AK_BottomBuff"]	WillBeAttacked	None	0	0	1	0	null	null	null	null	0	0	0	0	0	0	0	null
ModHighActionID(8)	1	DarkType	TypeDesc_Dark	typeDark	{"name":"null","values":[]}	null	null	null	null	["AK_Buff","AK_BottomBuff"]	WillBeAttacked	None	0	0	1	0	null	null	null	null	0	0	0	0	0	0	0	null
ModHighActionID(9)	1	FairyType	TypeDesc_Fairy	typeFairy	{"name":"null","values":[]}	null	null	null	null	["AK_Buff","AK_BottomBuff"]	WillBeAttacked	None	0	0	1	0	null	null	null	null	0	0	0	0	0	0	0	null
ModHighActionID(10)	1	NormalType	TypeDesc_Normal	typeNormal	{"name":"null","values":[]}	null	null	null	null	["AK_Buff","AK_BottomBuff"]	WillBeAttacked	None	0	0	1	0	null	null	null	null	0	0	0	0	0	0	0	null
ModHighActionID(11)	1	FightingType	TypeDesc_Fighting	typeFighting	{"name":"null","values":[]}	null	null	null	null	["AK_Buff","AK_BottomBuff"]	WillBeAttacked	None	0	0	1	0	null	null	null	null	0	0	0	0	0	0	0	null
ModHighActionID(12)	1	FlyingType	TypeDesc_Flying	typeFlying	{"name":"null","values":[]}	null	null	null	null	["AK_Buff","AK_BottomBuff"]	WillBeAttacked	None	0	0	1	0	null	null	null	null	0	0	0	0	0	0	0	null
ModHighActionID(13)	1	PoisonType	TypeDesc_Poison	typePoison	{"name":"null","values":[]}	null	null	null	null	["AK_Buff","AK_BottomBuff"]	WillBeAttacked	None	0	0	1	0	null	null	null	null	0	0	0	0	0	0	0	null
ModHighActionID(14)	1	GroundType	TypeDesc_Ground	typeGround	{"name":"null","values":[]}	null	null	null	null	["AK_Buff","AK_BottomBuff"]	WillBeAttacked	None	0	0	1	0	null	null	null	null	0	0	0	0	0	0	0	null
ModHighActionID(15)	1	RockType	TypeDesc_Rock	typeRock	{"name":"null","values":[]}	null	null	null	null	["AK_Buff","AK_BottomBuff"]	WillBeAttacked	None	0	0	1	0	null	null	null	null	0	0	0	0	0	0	0	null
ModHighActionID(16)	1	BugType	TypeDesc_Bug	typeBug	{"name":"null","values":[]}	null	null	null	null	["AK_Buff","AK_BottomBuff"]	WillBeAttacked	None	0	0	1	0	null	null	null	null	0	0	0	0	0	0	0	null
ModHighActionID(17)	1	GhostType	TypeDesc_Ghost	typeGhost	{"name":"null","values":[]}	null	null	null	null	["AK_Buff","AK_BottomBuff"]	WillBeAttacked	None	0	0	1	0	null	null	null	null	0	0	0	0	0	0	0	null
ModHighActionID(18)	1	SteelType	TypeDesc_Steel	typeSteel	{"name":"null","values":[]}	null	null	null	null	["AK_Buff","AK_BottomBuff"]	WillBeAttacked	None	0	0	1	0	null	null	null	null	0	0	0	0	0	0	0	null
