Shop_Name_HeroMaleRocket	Pokemon Trainer																								
Hero_Name_Zubat	Zubat																								
HeroAbilityName_Zubat	Gotta Catch 'Em All! / Infiltrator																								
HeroDes_Zubat	Gotta Catch 'Em All - At the start of battle, gain up to 2 Types. Enemies gain Types as well, and their effectiveness is displayed by hovering over a certain type. Attacks may also have a Type. Enemy Attacks that you would be Immune to are instead considered a Resistance. \nInfiltrator - When you have <color=#FAC970>Dodge</color>, all attacks gain <color=#FAC970>Armor Penetration</color>.																								
																									
----- Boss Names -----																									
																									
BossNameM1S1B1	Gym Leader Brock																								
BossNameM1S1B2	Gym Leader Misty																								
BossNameM1S1B3	Gym Leader Lt. Surge																								
BossNameM1S1B4	Gym Leader Erika																								
BossNameM1S2B1	Gym Leader Koga																								
BossNameM1S2B2	Gym Leader Sabrina																								
BossNameM1S2B3	Gym Leader Blaine																								
BossNameM1S2B4	Gym Leader Giovanni																								
BossNameM1S3B1	Elite Four Member Lorelai																								
BossNameM1S3B2	Elite Four Member Bruno																								
BossNameM1S3B3	Elite Four Member Agatha																								
BossNameM1S3B4	Elite Four Member Lance																								
																									
----- Statuses -----																									
																									
TypeDesc_Fire	<color=#e6613e>Fire</color>\n\nWeak to: <color=#a6743c>Ground</color>, <color=#a8a580>Rock</color>, <color=#329ae6>Water</color>. \n\nResistant to: <color=#9fa224>Bug</color>, <color=#6cacc6>Steel</color>, <color=#e6613e>Fire</color>, <color=#419a38>Grass</color>, <color=#48cacb>Ice</color>, <color=#e18de0>Fairy</color>.																								
TypeDesc_Water	<color=#329ae6>Water</color>\n\nWeak to: <color=#419a38>Grass</color>, <color=#e2bc2a>Electric</color>. \n\nResistant to: <color=#6cacc6>Steel</color>, <color=#e6613e>Fire</color>, <color=#329ae6>Water</color>, <color=#48cacb>Ice</color>																								
TypeDesc_Grass	<color=#419a38>Grass</color>\n\nWeak to: <color=#74acd0>Flying</color>, <color=#9654cc>Poison</color>, <color=#9fa224>Bug</color>, <color=#e6613e>Fire</color>, <color=#48cacb>Ice</color>. \n\nResistant to: <color=#a6743c>Ground</color>, <color=#329ae6>Water</color>, <color=#419a38>Grass</color>, <color=#e2bc2a>Electric</color>.																								
