ID	可用版本	可用平台	升级后的ID（大于10000的数）	卡牌名称备注	卡牌简述备注	卡牌描述备注	卡牌名称	卡牌简述	卡牌描述	卡牌图集名称	卡牌图片名称	卡牌类型	卡牌作用对象类型	卡牌最大作用对象数量	卡牌所用子弹	使用条件	特性	获取事件	移除事件	抽到事件	使用效果	丢弃事件事件	消耗事件	回合结束自动弃牌事件	加入手牌事件	离开手牌事件	卡牌所携带的buff信息	融合标签	复制时的特殊值	卡牌解锁信息
int	float	string	int	string	string	string	string	string	string	string	string	CardTypeEnum	CardTargetEnum	int	string	Determine	List<string>	EventActionTree	EventActionTree	HighActionTree	HighActionTree	HighActionTree	HighActionTree	HighActionTree	HighActionTree	HighActionTree	int[]	int[]	string	string
ID	CanUseVersion	Platformlimit	UpgradeCardID	CardNameRemarks	CardShotDescriptionRemarks	CardDescriptionRemarks	CardName	CardShotDescription	CardDescription	CardSpritePackage	CardSprite	CardType	CardTargetType	CardTarget	CardAmmo	Determine	KeyWords	GetEvent	RemoveEvent	DrawEvent	UseEvent	DropEvent	ConsumeEvent	TurnOffEvent	AddInHandEvent	OutHandEvent	BuffHighActionIDs	FusionTag	CloneInfo	CardUnlockDes
ModCardID(1)	1	1	ModCardID(10001)	Poison Test		Poison Test	ModCardNameTest1		ModCardInfoTest1	cards	cardNormal	3	3	321	1	null	[]	null	null	null	GHT{"name":"null","values":[]}|[ModHighActionID(39),0,1,321,ModHighActionID(27)!3,null]	null	null	null	null	null	null	[1]	null	LockedDesCollection_Hero
ModCardID(10001)	1	1	0	Toxic Test		Toxic Test	ModCardNameTest2		ModCardInfoTest2	cards	cardNormal	3	3	321	1	null	[]	null	null	null	GHT{"name":"null","values":[]}|[ModHighActionID(40),0,1,321,ModHighActionID(29)!3,null]	null	null	null	null	null	null	[1]	null	LockedDesCollection_Hero
ModCardID(2)	1	1	ModCardID(10002)	Frostbite Test		Frostbite Test	ModCardNameTest3		ModCardInfoTest3	cards	cardNormal	3	3	321	1	null	[]	null	null	null	GHT{"name":"null","values":[]}|[ModHighActionID(37),0,1,321,ModHighActionID(23)!3,null]	null	null	null	null	null	null	[1]	null	LockedDesCollection_Hero
ModCardID(10002)	1	1	0	Burn Test		Burn Test	ModCardNameTest4		ModCardInfoTest4	cards	cardNormal	3	3	321	1	null	[]	null	null	null	GHT{"name":"null","values":[]}|[ModHighActionID(38),0,1,321,ModHighActionID(25)!3,null]	null	null	null	null	null	null	[1]	null	LockedDesCollection_Hero
ModCardID(3)	1	1	ModCardID(10003)	Paralysis Test		Paralysis Test	ModCardNameTest5		ModCardInfoTest5	cards	cardNormal	3	3	321	1	null	[]	null	null	null	GHT{"name":"null","values":[]}|[ModHighActionID(41),0,1,321,ModHighActionID(31)!3,null]	null	null	null	null	null	null	[1]	null	LockedDesCollection_Hero
ModCardID(10003)	1	1	0	Sleep Test		Sleep Test	ModCardNameTest6		ModCardInfoTest6	cards	cardNormal	3	3	321	1	null	[]	null	null	null	GHT{"name":"null","values":[]}|[ModHighActionID(33),3,1,321,null,null]	null	null	null	null	null	null	[1]	null	LockedDesCollection_Hero
ModCardID(4)	1	1	ModCardID(10004)	Confusion Test		Confusion Test	ModCardNameTest7		ModCardInfoTest7	cards	cardNormal	3	3	321	1	null	[]	null	null	null	GHT{"name":"null","values":[]}|[ModHighActionID(35),3,1,321,null,null]	null	null	null	null	null	null	[1]	null	LockedDesCollection_Hero
ModCardID(10004)	1	1	0	Leech Seed Test		Leech Seed Test	ModCardNameTest8		ModCardInfoTest8	cards	cardNormal	3	3	321	1	null	[]	null	null	null	GHT{"name":"null","values":[]}|[ModHighActionID(43),0,1,321,ModHighActionID(42)!3,null]	null	null	null	null	null	null	[1]	null	LockedDesCollection_Hero
ModCardID(1001)	1	1	ModCardID(11001)	Tackle		Melee. Deal 5 Normal Damage.	ModCardNameAttackMelee1		ModCardInfoAttackMelee1	cards	cardNormal	1	1	211	0	null	[]	null	null	null	GHT{"name":"null","values":[]}|[1002,0,1,211,[((0+<DR_Fight_GetValue:NormalFlatDamageBoost>+<DR_Fight_GetValue:GenericFlatDamageBoost>)*(1-<C_OneActionDuration:1:ModHighActionID(17)>))+(5)/((<C_OneActionDuration:1:ModHighActionID(15)>+<C_OneActionDuration:1:ModHighActionID(18)>)^2)*(1+(<C_OneActionDuration:0:ModHighActionID(10)>/2))*(1+(<DR_Fight_GetValue:NormalMultDamageBoost>/20)+(<DR_Fight_GetValue:GenericMultDamageBoost>/20))*(1-<C_OneActionDuration:1:ModHighActionID(17)>)],null,null,Melee/Melee_Kick]	null	null	null	null	null	null	[1]	null	LockedDesCollection_Hero
ModCardID(11001)	1	1	0	Tackle		Melee. Deal 8 Normal Damage.	ModCardNameAttackMelee1		ModCardInfoAttackMelee1Up	cards	cardNormal	1	1	211	0	null	[]	null	null	null	GHT{"name":"null","values":[]}|[1002,0,1,211,[((0+<DR_Fight_GetValue:NormalFlatDamageBoost>+<DR_Fight_GetValue:GenericFlatDamageBoost>)*(1-<C_OneActionDuration:1:ModHighActionID(17)>))+(8)/((<C_OneActionDuration:1:ModHighActionID(15)>+<C_OneActionDuration:1:ModHighActionID(18)>)^2)*(1+(<C_OneActionDuration:0:ModHighActionID(10)>/2))*(1+(<DR_Fight_GetValue:NormalMultDamageBoost>/20)+(<DR_Fight_GetValue:GenericMultDamageBoost>/20))*(1-<C_OneActionDuration:1:ModHighActionID(17)>)],null,null,Melee/Melee_Kick]	null	null	null	null	null	null	[1]	null	LockedDesCollection_Hero
