ID	可用版本	可用平台	卡牌稀有度	购买价格	升级价格	掉率	能通过怪物获取	能通过Boss获取	能通过商店获取	能通过事件获取	能通过诅咒事件获取	能通过战斗内获取	能通过融合获取	是否解锁	掉落判定	可用世界	类别筛选(1.通用 2.地图二 3.世界三)
int	float	string	int	int	int	int	int	int	int	int	int	int	int	int	Determine	List<int>	int
ID	CanUseVersion	Platformlimit	CardRareDegree	Price	UpGradePrice	DropRate	GetByEnemy	GetByBoss	GetByShop	GetByEvent	GetByCurseEvent	GetInBattle	GetInFusion	UnlockState	Determine	Worlds	Filter
ModCardID(1001)	1	1	1	20	75	6	1	1	1	1	1	1	1	1	{"name":"EqualsThan","values":["<DR_Adventure_GetValue:UniversalLearnset>","1"]}	[1,2,3,4,5,6,7,91,92]	1
ModCardID(11001)	1	1	1	50	0	6	1	1	1	1	1	1	1	1	{"name":"EqualsThan","values":["<DR_Adventure_GetValue:UniversalLearnset>","1"]}	[1,2,3,4,5,6,7,91,92]	1
ModCardID(1002)	1	1	1	20	75	6	1	1	1	1	1	1	1	1	{"name":"EqualsThan","values":["<DR_Adventure_GetValue:UniversalLearnset>","1"]}	[1,2,3,4,5,6,7,91,92]	1
ModCardID(11002)	1	1	1	50	0	6	1	1	1	1	1	1	1	1	{"name":"EqualsThan","values":["<DR_Adventure_GetValue:UniversalLearnset>","1"]}	[1,2,3,4,5,6,7,91,92]	1
ModCardID(1003)	1	1	1	20	75	6	1	1	1	1	1	1	1	1	{"name":"EqualsThan","values":["<DR_Adventure_GetValue:UniversalLearnset>","1"]}	[1,2,3,4,5,6,7,91,92]	1
ModCardID(11003)	1	1	1	50	0	6	1	1	1	1	1	1	1	1	{"name":"EqualsThan","values":["<DR_Adventure_GetValue:UniversalLearnset>","1"]}	[1,2,3,4,5,6,7,91,92]	1
ModCardID(1004)	1	1	1	20	75	6	1	1	1	1	1	1	1	1	{"name":"EqualsThan","values":["<DR_Adventure_GetValue:UniversalLearnset>","1"]}	[1,2,3,4,5,6,7,91,92]	1
ModCardID(11004)	1	1	1	50	0	6	1	1	1	1	1	1	1	1	{"name":"EqualsThan","values":["<DR_Adventure_GetValue:UniversalLearnset>","1"]}	[1,2,3,4,5,6,7,91,92]	1
ModCardID(1005)	1	1	1	20	75	6	1	1	1	1	1	1	1	1	{"name":"EqualsThan","values":["<DR_Adventure_GetValue:UniversalLearnset>","1"]}	[1,2,3,4,5,6,7,91,92]	1
ModCardID(11005)	1	1	1	50	0	6	1	1	1	1	1	1	1	1	{"name":"EqualsThan","values":["<DR_Adventure_GetValue:UniversalLearnset>","1"]}	[1,2,3,4,5,6,7,91,92]	1
ModCardID(1006)	1	1	1	20	75	7	1	1	1	1	1	1	1	1	{"name":"EqualsThan","values":["<DR_Adventure_GetValue:NefariousLearnset>","1"]}	[1,2,3,4,5,6,7,91,92]	1
ModCardID(11006)	1	1	1	50	0	7	1	1	1	1	1	1	1	1	{"name":"EqualsThan","values":["<DR_Adventure_GetValue:NefariousLearnset>","1"]}	[1,2,3,4,5,6,7,91,92]	1
ModCardID(1007)	1	1	1	20	75	7	1	1	1	1	1	1	1	1	{"name":"EqualsThan","values":["<DR_Adventure_GetValue:NefariousLearnset>","1"]}	[1,2,3,4,5,6,7,91,92]	1
ModCardID(11007)	1	1	1	50	0	7	1	1	1	1	1	1	1	1	{"name":"EqualsThan","values":["<DR_Adventure_GetValue:NefariousLearnset>","1"]}	[1,2,3,4,5,6,7,91,92]	1
ModCardID(1008)	1	1	1	20	75	7	1	1	1	1	1	1	1	1	{"name":"EqualsThan","values":["<DR_Adventure_GetValue:NefariousLearnset>","1"]}	[1,2,3,4,5,6,7,91,92]	1
ModCardID(11008)	1	1	1	50	0	7	1	1	1	1	1	1	1	1	{"name":"EqualsThan","values":["<DR_Adventure_GetValue:NefariousLearnset>","1"]}	[1,2,3,4,5,6,7,91,92]	1
ModCardID(1009)	1	1	1	20	75	7	1	1	1	1	1	1	1	1	{"name":"EqualsThan","values":["<DR_Adventure_GetValue:NefariousLearnset>","1"]}	[1,2,3,4,5,6,7,91,92]	1
