ID	可用版本	角色名称	敌人所用角色ID	角色的被动	角色最大血量	角色血量波动值	敌人行人顺序									
int	float	string	int	HighAction[]	int	int	EnemyAction[]	EnemyAction[]	EnemyAction[]	EnemyAction[]	EnemyAction[]	EnemyAction[]	EnemyAction[]	EnemyAction[]	EnemyAction[]	EnemyAction[]
ID	CanUseVersion	Name	CharacherID	CharacterAbilitys	maxHealth	HealthFloat	ActionTurn1	ActionTurn2	ActionTurn3	ActionTurn4	ActionTurn5	ActionTurn6	ActionTurn7	ActionTurn8	ActionTurn9	ActionTurn10
20011	1	Rattata	ModCharacterID(101)	GHS[ModHighActionID(21),1,1,0,null,null,0&ModHighActionID(22),0,1,0,null&ModHighActionID(10),1,1,0,null,null,0]	25	1	GEA[100&1002,0,1,211,[(0+<C_OneActionDuration:0:ModHighActionID(77)>+<C_OneActionDuration:0:ModHighActionID(97)>)+(4)/((<C_OneActionDuration:1:ModHighActionID(15)>+<C_OneActionDuration:1:ModHighActionID(18)>+<C_OneActionDuration:1:ModHighActionID(17)>)^2)*(1+(<C_OneActionDuration:0:ModHighActionID(10)>/2))*(1+(<C_OneActionDuration:0:ModHighActionID(76)>/20)+(<C_OneActionDuration:0:ModHighActionID(96)>/20))],null,null,Melee/Melee_Kick]	GEA[60&1005,0,1,0,6,null]|[40&3004,2,1,0,null,null,0]	GEA[50&1002,0,1,211,[(0+<C_OneActionDuration:0:ModHighActionID(77)>+<C_OneActionDuration:0:ModHighActionID(97)>)+(5)/((<C_OneActionDuration:1:ModHighActionID(15)>+<C_OneActionDuration:1:ModHighActionID(18)>+<C_OneActionDuration:1:ModHighActionID(17)>)^2)*(1+(<C_OneActionDuration:0:ModHighActionID(10)>/2))*(1+(<C_OneActionDuration:0:ModHighActionID(76)>/20)+(<C_OneActionDuration:0:ModHighActionID(96)>/20))],null,null]|[50&1002,0,1,211,[(0+<C_OneActionDuration:0:ModHighActionID(77)>+<C_OneActionDuration:0:ModHighActionID(93)>)+(6)*((<C_OneActionDuration:1:ModHighActionID(17)>+<C_OneActionDuration:1:ModHighActionID(5)>)^2)/((<C_OneActionDuration:1:ModHighActionID(11)>+<C_OneActionDuration:1:ModHighActionID(8)>+<C_OneActionDuration:1:ModHighActionID(9)>)^2)*(1+(<C_OneActionDuration:0:ModHighActionID(8)>/2))*(1+(<C_OneActionDuration:0:ModHighActionID(76)>/20)+(<C_OneActionDuration:0:ModHighActionID(92)>/20))],null,null]							
20021	1	Lickitung	ModCharacterID(102)	GHS[ModHighActionID(21),1,1,0,null,null,0&ModHighActionID(22),0,1,0,null&ModHighActionID(10),1,1,0,null,null,0]	50	2	GEA[100&1002,0,1,211,[(0+<C_OneActionDuration:0:ModHighActionID(77)>+<C_OneActionDuration:0:ModHighActionID(111)>)+(6)*((<C_OneActionDuration:1:ModHighActionID(17)>+<C_OneActionDuration:1:ModHighActionID(5)>)^2)/((<C_OneActionDuration:1:ModHighActionID(8)>+<C_OneActionDuration:1:ModHighActionID(10)>)^2)*(1+(<C_OneActionDuration:0:ModHighActionID(17)>/2))*(1+(<C_OneActionDuration:0:ModHighActionID(76)>/20)+(<C_OneActionDuration:0:ModHighActionID(110)>/20))],null,null,Melee/Melee_Kick]	GEA[100&ModHighActionID(33),3,1,0,null,null,0&1006,0,1,0,[<C_HealthMax:0>],null]	GEA[100&1005,0,1,0,[<C_HealthMax:0>*0.2],null]							
20031	1	Ekans	ModCharacterID(103)	GHS[ModHighActionID(21),1,1,0,null,null,0&ModHighActionID(22),0,1,0,null&ModHighActionID(13),1,1,0,null,null,0]	30	1	GEA[100&1002,0,1,211,[(0+<C_OneActionDuration:0:ModHighActionID(77)>+<C_OneActionDuration:0:ModHighActionID(93)>)+(6)*((<C_OneActionDuration:1:ModHighActionID(17)>+<C_OneActionDuration:1:ModHighActionID(5)>)^2)/((<C_OneActionDuration:1:ModHighActionID(11)>+<C_OneActionDuration:1:ModHighActionID(8)>+<C_OneActionDuration:1:ModHighActionID(9)>)^2)*(1+(<C_OneActionDuration:0:ModHighActionID(8)>/2))*(1+(<C_OneActionDuration:0:ModHighActionID(76)>/20)+(<C_OneActionDuration:0:ModHighActionID(92)>/20))],null]	GEA[70_6&ModHighActionID(39),0,1,211,ModHighActionID(27)!3,null]|[30&1002,0,1,211,[(0+<C_OneActionDuration:0:ModHighActionID(77)>+<C_OneActionDuration:0:ModHighActionID(97)>)+(4)/((<C_OneActionDuration:1:ModHighActionID(15)>+<C_OneActionDuration:1:ModHighActionID(18)>+<C_OneActionDuration:1:ModHighActionID(17)>)^2)*(1+(<C_OneActionDuration:0:ModHighActionID(10)>/2))*(1+(<C_OneActionDuration:0:ModHighActionID(76)>/20)+(<C_OneActionDuration:0:ModHighActionID(96)>/20))],null,null,Melee/Melee_Kick2]	GEA[50&1005,0,1,0,6,null]|[50&3004,2,1,0,null,null,0]							
20041	1	Caterpie	ModCharacterID(104)	GHS[ModHighActionID(21),1,1,0,null,null,0&ModHighActionID(22),0,1,0,null&ModHighActionID(16),1,1,0,null,null,0]	20	0	GEA[60&1002,0,1,211[(0+<C_OneActionDuration:0:ModHighActionID(77)>+<C_OneActionDuration:0:ModHighActionID(109)>)+(4)*((<C_OneActionDuration:1:ModHighActionID(3)>+<C_OneActionDuration:1:ModHighActionID(5)>+<C_OneActionDuration:1:ModHighActionID(8)>)^2)/((<C_OneActionDuration:1:ModHighActionID(11)>+<C_OneActionDuration:1:ModHighActionID(12)>+<C_OneActionDuration:1:ModHighActionID(13)>+<C_OneActionDuration:1:ModHighActionID(17)>+<C_OneActionDuration:1:ModHighActionID(18)>+<C_OneActionDuration:1:ModHighActionID(1)>+<C_OneActionDuration:1:ModHighActionID(9)>)^2)*(1+(<C_OneActionDuration:0:ModHighActionID(16)>/2))*(1+(<C_OneActionDuration:0:ModHighActionID(76)>/20)+(<C_OneActionDuration:0:ModHighActionID(108)>/20))],null]|[40_6&1018,0,1,211,ModCardID(5001)!1!1!1!6,null]									
20051	1	Metapod	ModCharacterID(105)	GHS[ModHighActionID(21),1,1,0,null,null,0&ModHighActionID(22),0,1,0,null&ModHighActionID(16),1,1,0,null,null,0]	55	0	GEA[90&1005,0,1,0,[<C_HealthCur:0>*0.25],null]|[10&1002,0,1,211[(0+<C_OneActionDuration:0:ModHighActionID(77)>+<C_OneActionDuration:0:ModHighActionID(109)>)+(4+(<C_Armor:0>*0.25))*((<C_OneActionDuration:1:ModHighActionID(3)>+<C_OneActionDuration:1:ModHighActionID(5)>+<C_OneActionDuration:1:ModHighActionID(8)>)^2)/((<C_OneActionDuration:1:ModHighActionID(11)>+<C_OneActionDuration:1:ModHighActionID(12)>+<C_OneActionDuration:1:ModHighActionID(13)>+<C_OneActionDuration:1:ModHighActionID(17)>+<C_OneActionDuration:1:ModHighActionID(18)>+<C_OneActionDuration:1:ModHighActionID(1)>+<C_OneActionDuration:1:ModHighActionID(9)>)^2)*(1+(<C_OneActionDuration:0:ModHighActionID(16)>/2))*(1+(<C_OneActionDuration:0:ModHighActionID(76)>/20)+(<C_OneActionDuration:0:ModHighActionID(108)>/20))],null]									
20061	1	Butterfree	ModCharacterID(106)	GHS[ModHighActionID(21),1,1,0,null,null,0&ModHighActionID(22),0,1,0,null&ModHighActionID(12),1,1,0,null,null&ModHighActionID(16),1,1,0,null,null,0]	40	1	GEA[100&1003,0,1,211,[(0+<C_OneActionDuration:0:ModHighActionID(77)>+<C_OneActionDuration:0:ModHighActionID(109)>)+(8)*((<C_OneActionDuration:1:ModHighActionID(3)>+<C_OneActionDuration:1:ModHighActionID(5)>+<C_OneActionDuration:1:ModHighActionID(8)>)^2)/((<C_OneActionDuration:1:ModHighActionID(11)>+<C_OneActionDuration:1:ModHighActionID(12)>+<C_OneActionDuration:1:ModHighActionID(13)>+<C_OneActionDuration:1:ModHighActionID(17)>+<C_OneActionDuration:1:ModHighActionID(18)>+<C_OneActionDuration:1:ModHighActionID(1)>+<C_OneActionDuration:1:ModHighActionID(9)>)^2)*(1+(<C_OneActionDuration:0:ModHighActionID(16)>/2))*(1+(<C_OneActionDuration:0:ModHighActionID(76)>/20)+(<C_OneActionDuration:0:ModHighActionID(108)>/20))],null,null]	GEA[50&1003,0,1,211,[(0+<C_OneActionDuration:0:ModHighActionID(77)>+<C_OneActionDuration:0:ModHighActionID(101)>)+(10)*((<C_OneActionDuration:1:ModHighActionID(3)>+<C_OneActionDuration:1:ModHighActionID(11)>+<C_OneActionDuration:1:ModHighActionID(16)>)^2)/((<C_OneActionDuration:1:ModHighActionID(18)>+<C_OneActionDuration:1:ModHighActionID(4)>+<C_OneActionDuration:1:ModHighActionID(15)>)^2)*(1+(<C_OneActionDuration:0:ModHighActionID(12)>/2))*(1+(<C_OneActionDuration:0:ModHighActionID(76)>/20)+(<C_OneActionDuration:0:ModHighActionID(100)>/20))],null,null]|[50&1003,0,1,211,[(0+<C_OneActionDuration:0:ModHighActionID(77)>+<C_OneActionDuration:0:ModHighActionID(87)>)+(8)*((<C_OneActionDuration:1:ModHighActionID(11)>+<C_OneActionDuration:1:ModHighActionID(13)>)^2)/((<C_OneActionDuration:1:ModHighActionID(5)>+<C_OneActionDuration:1:ModHighActionID(18)>+<C_OneActionDuration:1:ModHighActionID(8)>)^2)*(1+(<C_OneActionDuration:0:ModHighActionID(5)>/2))*(1+(<C_OneActionDuration:0:ModHighActionID(76)>/20)+(<C_OneActionDuration:0:ModHighActionID(86)>/20))],null,null]	GEA[60&1006,0,1,113,[<C_HealthMax:0>*0.25],null]|[40&1005,0,1,0,[<C_HealthCur:0>*0.5],null]							
20071	1	Mankey	ModCharacterID(107)	GHS[ModHighActionID(21),1,1,0,null,null,0&ModHighActionID(22),0,1,0,null&ModHighActionID(11),1,1,0,null,null,0]	30	1	GEA[100&1002,0,1,211,[(0+<C_OneActionDuration:0:ModHighActionID(77)>+<C_OneActionDuration:0:ModHighActionID(99)>)+(<C_HealthMax:0>*0.1)*((<C_OneActionDuration:1:ModHighActionID(10)>+<C_OneActionDuration:1:ModHighActionID(15)>+<C_OneActionDuration:1:ModHighActionID(6)>+<C_OneActionDuration:1:ModHighActionID(18)>+<C_OneActionDuration:1:ModHighActionID(8)>)^2)/((<C_OneActionDuration:1:ModHighActionID(12)>+<C_OneActionDuration:1:ModHighActionID(13)>+<C_OneActionDuration:1:ModHighActionID(16)>+<C_OneActionDuration:1:ModHighActionID(5)>+<C_OneActionDuration:1:ModHighActionID(9)>+<C_OneActionDuration:1:ModHighActionID(17)>)^2)*(1+(<C_OneActionDuration:0:ModHighActionID(11)>/2))*(1+(<C_OneActionDuration:0:ModHighActionID(76)>/20)+(<C_OneActionDuration:0:ModHighActionID(98)>/20))],null,null,Melee/Melee_Kick]	GEA[100&1002,0,2,211,[(0+<C_OneActionDuration:0:ModHighActionID(77)>+<C_OneActionDuration:0:ModHighActionID(99)>)+(3)*((<C_OneActionDuration:1:ModHighActionID(10)>+<C_OneActionDuration:1:ModHighActionID(15)>+<C_OneActionDuration:1:ModHighActionID(6)>+<C_OneActionDuration:1:ModHighActionID(18)>+<C_OneActionDuration:1:ModHighActionID(8)>)^2)/((<C_OneActionDuration:1:ModHighActionID(12)>+<C_OneActionDuration:1:ModHighActionID(13)>+<C_OneActionDuration:1:ModHighActionID(16)>+<C_OneActionDuration:1:ModHighActionID(5)>+<C_OneActionDuration:1:ModHighActionID(9)>+<C_OneActionDuration:1:ModHighActionID(17)>)^2)*(1+(<C_OneActionDuration:0:ModHighActionID(11)>/2))*(1+(<C_OneActionDuration:0:ModHighActionID(76)>/20)+(<C_OneActionDuration:0:ModHighActionID(98)>/20))],null,null,Melee/Melee_Kick]								
20081	1	Primeape	ModCharacterID(108)	GHS[ModHighActionID(21),1,1,0,null,null,0&ModHighActionID(22),0,1,0,null&ModHighActionID(11),1,1,0,null,null,0]	60	2	GEA[100&1002,0,1,211,[(0+<C_OneActionDuration:0:ModHighActionID(77)>+<C_OneActionDuration:0:ModHighActionID(99)>)+(<C_HealthMax:0>*0.12)*((<C_OneActionDuration:1:ModHighActionID(10)>+<C_OneActionDuration:1:ModHighActionID(15)>+<C_OneActionDuration:1:ModHighActionID(6)>+<C_OneActionDuration:1:ModHighActionID(18)>+<C_OneActionDuration:1:ModHighActionID(8)>)^2)/((<C_OneActionDuration:1:ModHighActionID(12)>+<C_OneActionDuration:1:ModHighActionID(13)>+<C_OneActionDuration:1:ModHighActionID(16)>+<C_OneActionDuration:1:ModHighActionID(5)>+<C_OneActionDuration:1:ModHighActionID(9)>+<C_OneActionDuration:1:ModHighActionID(17)>)^2)*(1+(<C_OneActionDuration:0:ModHighActionID(11)>/2))*(1+(<C_OneActionDuration:0:ModHighActionID(76)>/20)+(<C_OneActionDuration:0:ModHighActionID(98)>/20))],null,null,Melee/Melee_Kick]	GEA[100&1002,0,2,211,[(0+<C_OneActionDuration:0:ModHighActionID(77)>+<C_OneActionDuration:0:ModHighActionID(99)>)+(4)*((<C_OneActionDuration:1:ModHighActionID(10)>+<C_OneActionDuration:1:ModHighActionID(15)>+<C_OneActionDuration:1:ModHighActionID(6)>+<C_OneActionDuration:1:ModHighActionID(18)>+<C_OneActionDuration:1:ModHighActionID(8)>)^2)/((<C_OneActionDuration:1:ModHighActionID(12)>+<C_OneActionDuration:1:ModHighActionID(13)>+<C_OneActionDuration:1:ModHighActionID(16)>+<C_OneActionDuration:1:ModHighActionID(5)>+<C_OneActionDuration:1:ModHighActionID(9)>+<C_OneActionDuration:1:ModHighActionID(17)>)^2)*(1+(<C_OneActionDuration:0:ModHighActionID(11)>/2))*(1+(<C_OneActionDuration:0:ModHighActionID(76)>/20)+(<C_OneActionDuration:0:ModHighActionID(98)>/20))],null,null,Melee/Melee_Kick]								
