ID	可用版本	效果名称	描述	图标名称	触发条件（默认触发1）	所触发的基础效果1(values可覆盖)	所触发的基础效果2(values可覆盖)	BaseActionValues1(无用)	BaseActionValues2(无用)	Keywords	作用时机	削弱时机	ActionTarget	BuffTarget	触发次数(可覆盖)	Buff持续时间(可覆盖)	上BUFF特效	预热特效	预热目标位子	TargetVfx	VfxType	行为开始的延迟	行为间隔的延迟	特效到效果的延迟	触发次数(不可设置)	Buff持续时间(不可设置)	currentWordActionValue(不可设置))	SourceCard(不可设置))
int	float	string	string	string	Determine	BaseAction[]	BaseAction[]	string[]	string[]	List<string>	string	string	int	int	string	string	string	string	int	string	int	float	float	float	int	int	int	string
ID	CanUseVersion	Name	Description	IconName	Determine	BaseAction1	BaseAction2	BaseActionValues1	BaseActionValues2	Keywords	WorkTriggerName	CostTriggerName	ActionTarget	BuffTarget	PreActionWorkTime	PreBuffDuration	BuffOnVfx	PreheatingVfx	PreheatingVfxPos	TargetVfx	VfxType	StartDelay	ActionInterval	ActionDelay	actionWorkTime	BuffDuration	currentWordActionValue	SourceCard
ModHighActionID(1)	1	FireType	TypeDesc_Fire	typeFire	{"name":"null","values":[]}	null	null	null	null	["AK_Buff","AK_BottomBuff"]	WillBeAttacked	None	0	0	1	0	null	null	null	null	0	0	0	0	0	0	0	null
ModHighActionID(2)	1	WaterType	TypeDesc_Water	typeWater	{"name":"null","values":[]}	null	null	null	null	["AK_Buff","AK_BottomBuff"]	WillBeAttacked	None	0	0	1	0	null	null	null	null	0	0	0	0	0	0	0	null
ModHighActionID(3)	1	GrassType	TypeDesc_Grass	typeGrass	{"name":"null","values":[]}	null	null	null	null	["AK_Buff","AK_BottomBuff"]	WillBeAttacked	None	0	0	1	0	null	null	null	null	0	0	0	0	0	0	0	null
ModHighActionID(4)	1	ElectricType	TypeDesc_Electric	typeElectric	{"name":"null","values":[]}	null	null	null	null	["AK_Buff","AK_BottomBuff"]	WillBeAttacked	None	0	0	1	0	null	null	null	null	0	0	0	0	0	0	0	null
ModHighActionID(5)	1	PsychicType	TypeDesc_Psychic	typePsychic	{"name":"null","values":[]}	null	null	null	null	["AK_Buff","AK_BottomBuff"]	WillBeAttacked	None	0	0	1	0	null	null	null	null	0	0	0	0	0	0	0	null
ModHighActionID(6)	1	IceType	TypeDesc_Ice	typeIce	{"name":"null","values":[]}	null	null	null	null	["AK_Buff","AK_BottomBuff"]	WillBeAttacked	None	0	0	1	0	null	null	null	null	0	0	0	0	0	0	0	null
ModHighActionID(7)	1	DragonType	TypeDesc_Dragon	typeDragon	{"name":"null","values":[]}	null	null	null	null	["AK_Buff","AK_BottomBuff"]	WillBeAttacked	None	0	0	1	0	null	null	null	null	0	0	0	0	0	0	0	null
ModHighActionID(8)	1	DarkType	TypeDesc_Dark	typeDark	{"name":"null","values":[]}	null	null	null	null	["AK_Buff","AK_BottomBuff"]	WillBeAttacked	None	0	0	1	0	null	null	null	null	0	0	0	0	0	0	0	null
ModHighActionID(9)	1	FairyType	TypeDesc_Fairy	typeFairy	{"name":"null","values":[]}	null	null	null	null	["AK_Buff","AK_BottomBuff"]	WillBeAttacked	None	0	0	1	0	null	null	null	null	0	0	0	0	0	0	0	null
ModHighActionID(10)	1	NormalType	TypeDesc_Normal	typeNormal	{"name":"null","values":[]}	null	null	null	null	["AK_Buff","AK_BottomBuff"]	WillBeAttacked	None	0	0	1	0	null	null	null	null	0	0	0	0	0	0	0	null
ModHighActionID(11)	1	FightingType	TypeDesc_Fighting	typeFighting	{"name":"null","values":[]}	null	null	null	null	["AK_Buff","AK_BottomBuff"]	WillBeAttacked	None	0	0	1	0	null	null	null	null	0	0	0	0	0	0	0	null
ModHighActionID(12)	1	FlyingType	TypeDesc_Flying	typeFlying	{"name":"null","values":[]}	null	null	null	null	["AK_Buff","AK_BottomBuff"]	WillBeAttacked	None	0	0	1	0	null	null	null	null	0	0	0	0	0	0	0	null
ModHighActionID(13)	1	PoisonType	TypeDesc_Poison	typePoison	{"name":"null","values":[]}	null	null	null	null	["AK_Buff","AK_BottomBuff"]	WillBeAttacked	None	0	0	1	0	null	null	null	null	0	0	0	0	0	0	0	null
ModHighActionID(14)	1	GroundType	TypeDesc_Ground	typeGround	{"name":"null","values":[]}	null	null	null	null	["AK_Buff","AK_BottomBuff"]	WillBeAttacked	None	0	0	1	0	null	null	null	null	0	0	0	0	0	0	0	null
ModHighActionID(15)	1	RockType	TypeDesc_Rock	typeRock	{"name":"null","values":[]}	null	null	null	null	["AK_Buff","AK_BottomBuff"]	WillBeAttacked	None	0	0	1	0	null	null	null	null	0	0	0	0	0	0	0	null
ModHighActionID(16)	1	BugType	TypeDesc_Bug	typeBug	{"name":"null","values":[]}	null	null	null	null	["AK_Buff","AK_BottomBuff"]	WillBeAttacked	None	0	0	1	0	null	null	null	null	0	0	0	0	0	0	0	null
ModHighActionID(17)	1	GhostType	TypeDesc_Ghost	typeGhost	{"name":"null","values":[]}	null	null	null	null	["AK_Buff","AK_BottomBuff"]	WillBeAttacked	None	0	0	1	0	null	null	null	null	0	0	0	0	0	0	0	null
ModHighActionID(18)	1	SteelType	TypeDesc_Steel	typeSteel	{"name":"null","values":[]}	null	null	null	null	["AK_Buff","AK_BottomBuff"]	WillBeAttacked	None	0	0	1	0	null	null	null	null	0	0	0	0	0	0	0	null
ModHighActionID(19)	1	GiveTwoTypesRandom	GiveTwoTypesRandom	buff_02	{"name":"GreaterThan","values":["<C_OneActionDuration:0:ModHighActionID(21)>","0"]}	[{"name":"TA_AddCondition","values":["ModHighActionID(20)","1"]}]	[{"name":"TA_AddCondition","values":["<D_RandomNumInValue:ModHighActionID(1):ModHighActionID(2):ModHighActionID(3):ModHighActionID(4):ModHighActionID(5):ModHighActionID(6):ModHighActionID(7):ModHighActionID(8):ModHighActionID(9):ModHighActionID(10):ModHighActionID(11):ModHighActionID(12):ModHighActionID(13):ModHighActionID(14):ModHighActionID(15):ModHighActionID(16):ModHighActionID(17):ModHighActionID(18)>","1"]},{"name":"TA_AddCondition","values":["<D_RandomNumInValue:ModHighActionID(1):ModHighActionID(2):ModHighActionID(3):ModHighActionID(4):ModHighActionID(5):ModHighActionID(6):ModHighActionID(7):ModHighActionID(8):ModHighActionID(9):ModHighActionID(10):ModHighActionID(11):ModHighActionID(12):ModHighActionID(13):ModHighActionID(14):ModHighActionID(15):ModHighActionID(16):ModHighActionID(17):ModHighActionID(18)>","1"]},{"name":"TA_AddCondition","values":["ModHighActionID(20)","1"]}]	null	null	["AK_Buff"]	EnemyInit	None	0	0	1	0	null	null	null	null	0	0	0	0	0	0	0	null
