ID	可用版本	可用平台	Image	名字备注	描述备注	名字	描述	稀有度	掉率	怪物掉落	事件掉落	商店掉落	获得时触发的效果	失去时触发的效果	效果	效果	非战斗持续性效果	修理效果	全局buff	购买价格	售出价格	修理价格	能否移除	是否解锁	判定	可用的世界	类别筛选(1.通用 2.地图二 3.世界三)	关键字	触发优先级（有小到大，最小为 1，）
int	float	string	string	string	string	string	string	int	int	int	int	int	EventActionTree[]	EventActionTree[]	HighAction[]	HighAction[]	EventActionTree[]	EventActionTree[]	GlobalBuff[]	int	string	string	int	int	Determine	List<int>	int	List<string>	int
ID	CanUseVersion	Platformlimit	Image	nameRemarks	DescriptionRemarks	name	Description	Degree	DropRate	GetByEnemy	GetByEvent	GetByShop	GetEvents	RemoveEvents	FightStratAction	FightAction	GlobalEventActionss	RepairEventActionss	GlobalBuffs	Buy	Sell	repairCost	canRemove	UnlockState	Determine	Worlds	Filter	Keywords	TriggerPriority
ModRelicID(10001)	1	1	Relics_01	ZubatLineRelic		null	null	1	10	0	0	0	[{"chance":1,"baseActions":[{"name":"DR_Adventure_UpdateData","values":["UniversalLearnset","1"]}]},{"chance":1,"baseActions":[{"name":"DR_Adventure_UpdateData","values":["NefariousLearnset","1"]}]},{"chance":1,"baseActions":[{"name":"DR_Adventure_UpdateData","values":["CharacterType","1"]}]}]	null	GHS[2035,1,1,0,null,null,0&ModHighActionID(69),0,1,440,null,null,0&ModHighActionID(68),1,1,0,null,null,0&ModHighActionID(19),1,1,1,null,null,0&ModHighActionID(12),1,1,0,null,null,0&ModHighActionID(13),1,1,0,null,null,0&ModHighActionID(65),1,1,0,null,null,0&ModHighActionID(66),1,1,0,null]	null	null	null	null	0	0	0	1	1	null	[1,2,3,4,5,6,91,92]	0	["1"]	1
ModRelicID(1)	1	1	Relic_NefariousTM	Relic_NefariousTM		null	RelicDesc_NefariousTM	1	6	1	1	1	[{"chance":1,"baseActions":[{"name":"DR_Adventure_UpdateData","values":["NefariousLearnset","1"]}]}]	[{"chance":1,"baseActions":[{"name":"DR_Adventure_UpdateData","values":["NefariousLearnset","0"]}]}]	GHS[ModHighActionID(147),1,1,0,null,null,0]	null	null	null	null	100	40	0	1	1	{"name":"GreaterThan","values":["[<TargetRelicsNum:ModRelicID(101)>+<TargetRelicsNum:ModRelicID(102)>+<TargetRelicsNum:ModRelicID(103)>+<TargetRelicsNum:ModRelicID(104)>+<TargetRelicsNum:ModRelicID(105)>+<TargetRelicsNum:ModRelicID(106)>+<TargetRelicsNum:ModRelicID(107)>+<TargetRelicsNum:ModRelicID(108)>+<TargetRelicsNum:ModRelicID(109)>+<TargetRelicsNum:ModRelicID(110)>+<TargetRelicsNum:ModRelicID(111)>+<TargetRelicsNum:ModRelicID(112)>+<TargetRelicsNum:ModRelicID(113)>+<TargetRelicsNum:ModRelicID(114)>+<TargetRelicsNum:ModRelicID(115)>+<TargetRelicsNum:ModRelicID(116)>+<TargetRelicsNum:ModRelicID(117)>+<TargetRelicsNum:ModRelicID(118)>]","0"]}	[1,2,3,4,5,6,91,92]	0	["1"]	1
ModRelicID(101)	1	1	Relic_FirePlate	Relic_FirePlate		null	RelicDesc_FirePlate	1	5	0	0	0	[{"chance":1,"baseActions":[{"name":"DR_Adventure_UpdateData","values":["UniversalLearnset","1"]}]}]	[{"chance":1,"baseActions":[{"name":"DR_Adventure_UpdateData","values":["UniversalLearnset","0"]}]}]	GHS[ModHighActionID(22),0,1,0,null&ModHighActionID(1),1,1,0,null&1057,0,1,0,FireFlatDamageBoost!1,null&ModHighActionID(19),1,1,1,null,null,0&ModHighActionID(69),0,1,440,null,null,0]	null	null	null	null	100	40	0	1	1	{"name":"LessThan","values":["[<TargetRelicsNum:ModRelicID(101)>+<TargetRelicsNum:ModRelicID(102)>+<TargetRelicsNum:ModRelicID(103)>+<TargetRelicsNum:ModRelicID(104)>+<TargetRelicsNum:ModRelicID(105)>+<TargetRelicsNum:ModRelicID(106)>+<TargetRelicsNum:ModRelicID(107)>+<TargetRelicsNum:ModRelicID(108)>+<TargetRelicsNum:ModRelicID(109)>+<TargetRelicsNum:ModRelicID(110)>+<TargetRelicsNum:ModRelicID(111)>+<TargetRelicsNum:ModRelicID(112)>+<TargetRelicsNum:ModRelicID(113)>+<TargetRelicsNum:ModRelicID(114)>+<TargetRelicsNum:ModRelicID(115)>+<TargetRelicsNum:ModRelicID(116)>+<TargetRelicsNum:ModRelicID(117)>+<TargetRelicsNum:ModRelicID(118)>+(<TargetRelicsNum:ModRelicID(10001)>*2)]","2"]}	[1,2,3,4,5,6,91,92]	0	["1"]	1
ModRelicID(102)	1	1	Relic_WaterPlate	Relic_WaterPlate		null	RelicDesc_WaterPlate	1	5	0	0	0	[{"chance":1,"baseActions":[{"name":"DR_Adventure_UpdateData","values":["UniversalLearnset","1"]}]}]	[{"chance":1,"baseActions":[{"name":"DR_Adventure_UpdateData","values":["UniversalLearnset","0"]}]}]	GHS[ModHighActionID(22),0,1,0,null&ModHighActionID(2),1,1,0,null&1057,0,1,0,WaterFlatDamageBoost!1,null]	null	null	null	null	100	40	0	1	1	{"name":"LessThan","values":["[<TargetRelicsNum:ModRelicID(101)>+<TargetRelicsNum:ModRelicID(102)>+<TargetRelicsNum:ModRelicID(103)>+<TargetRelicsNum:ModRelicID(104)>+<TargetRelicsNum:ModRelicID(105)>+<TargetRelicsNum:ModRelicID(106)>+<TargetRelicsNum:ModRelicID(107)>+<TargetRelicsNum:ModRelicID(108)>+<TargetRelicsNum:ModRelicID(109)>+<TargetRelicsNum:ModRelicID(110)>+<TargetRelicsNum:ModRelicID(111)>+<TargetRelicsNum:ModRelicID(112)>+<TargetRelicsNum:ModRelicID(113)>+<TargetRelicsNum:ModRelicID(114)>+<TargetRelicsNum:ModRelicID(115)>+<TargetRelicsNum:ModRelicID(116)>+<TargetRelicsNum:ModRelicID(117)>+<TargetRelicsNum:ModRelicID(118)>+(<TargetRelicsNum:ModRelicID(10001)>*2)]","2"]}	[1,2,3,4,5,6,91,92]	0	["1"]	1
ModRelicID(103)	1	1	Relic_GrassPlate	Relic_GrassPlate		null	RelicDesc_GrassPlate	1	5	0	0	0	[{"chance":1,"baseActions":[{"name":"DR_Adventure_UpdateData","values":["UniversalLearnset","1"]}]}]	[{"chance":1,"baseActions":[{"name":"DR_Adventure_UpdateData","values":["UniversalLearnset","0"]}]}]	GHS[ModHighActionID(22),0,1,0,null&ModHighActionID(3),1,1,0,null&1057,0,1,0,GrassFlatDamageBoost!1,null]	null	null	null	null	100	40	0	1	1	{"name":"LessThan","values":["[<TargetRelicsNum:ModRelicID(101)>+<TargetRelicsNum:ModRelicID(102)>+<TargetRelicsNum:ModRelicID(103)>+<TargetRelicsNum:ModRelicID(104)>+<TargetRelicsNum:ModRelicID(105)>+<TargetRelicsNum:ModRelicID(106)>+<TargetRelicsNum:ModRelicID(107)>+<TargetRelicsNum:ModRelicID(108)>+<TargetRelicsNum:ModRelicID(109)>+<TargetRelicsNum:ModRelicID(110)>+<TargetRelicsNum:ModRelicID(111)>+<TargetRelicsNum:ModRelicID(112)>+<TargetRelicsNum:ModRelicID(113)>+<TargetRelicsNum:ModRelicID(114)>+<TargetRelicsNum:ModRelicID(115)>+<TargetRelicsNum:ModRelicID(116)>+<TargetRelicsNum:ModRelicID(117)>+<TargetRelicsNum:ModRelicID(118)>+(<TargetRelicsNum:ModRelicID(10001)>*2)]","2"]}	[1,2,3,4,5,6,91,92]	0	["1"]	1
ModRelicID(104)	1	1	Relic_ElectricPlate	Relic_ElectricPlate		null	RelicDesc_ElectricPlate	1	5	0	0	0	[{"chance":1,"baseActions":[{"name":"DR_Adventure_UpdateData","values":["UniversalLearnset","1"]}]}]	[{"chance":1,"baseActions":[{"name":"DR_Adventure_UpdateData","values":["UniversalLearnset","0"]}]}]	GHS[ModHighActionID(22),0,1,0,null&ModHighActionID(4),1,1,0,null&1057,0,1,0,ElectricFlatDamageBoost!1,null]	null	null	null	null	100	40	0	1	1	{"name":"LessThan","values":["[<TargetRelicsNum:ModRelicID(101)>+<TargetRelicsNum:ModRelicID(102)>+<TargetRelicsNum:ModRelicID(103)>+<TargetRelicsNum:ModRelicID(104)>+<TargetRelicsNum:ModRelicID(105)>+<TargetRelicsNum:ModRelicID(106)>+<TargetRelicsNum:ModRelicID(107)>+<TargetRelicsNum:ModRelicID(108)>+<TargetRelicsNum:ModRelicID(109)>+<TargetRelicsNum:ModRelicID(110)>+<TargetRelicsNum:ModRelicID(111)>+<TargetRelicsNum:ModRelicID(112)>+<TargetRelicsNum:ModRelicID(113)>+<TargetRelicsNum:ModRelicID(114)>+<TargetRelicsNum:ModRelicID(115)>+<TargetRelicsNum:ModRelicID(116)>+<TargetRelicsNum:ModRelicID(117)>+<TargetRelicsNum:ModRelicID(118)>+(<TargetRelicsNum:ModRelicID(10001)>*2)]","2"]}	[1,2,3,4,5,6,91,92]	0	["1"]	1
ModRelicID(105)	1	1	Relic_PsychicPlate	Relic_PsychicPlate		null	RelicDesc_PsychicPlate	1	5	0	0	0	[{"chance":1,"baseActions":[{"name":"DR_Adventure_UpdateData","values":["UniversalLearnset","1"]}]}]	[{"chance":1,"baseActions":[{"name":"DR_Adventure_UpdateData","values":["UniversalLearnset","0"]}]}]	GHS[ModHighActionID(22),0,1,0,null&ModHighActionID(5),1,1,0,null&1057,0,1,0,PsychicFlatDamageBoost!1,null]	null	null	null	null	100	40	0	1	1	{"name":"LessThan","values":["[<TargetRelicsNum:ModRelicID(101)>+<TargetRelicsNum:ModRelicID(102)>+<TargetRelicsNum:ModRelicID(103)>+<TargetRelicsNum:ModRelicID(104)>+<TargetRelicsNum:ModRelicID(105)>+<TargetRelicsNum:ModRelicID(106)>+<TargetRelicsNum:ModRelicID(107)>+<TargetRelicsNum:ModRelicID(108)>+<TargetRelicsNum:ModRelicID(109)>+<TargetRelicsNum:ModRelicID(110)>+<TargetRelicsNum:ModRelicID(111)>+<TargetRelicsNum:ModRelicID(112)>+<TargetRelicsNum:ModRelicID(113)>+<TargetRelicsNum:ModRelicID(114)>+<TargetRelicsNum:ModRelicID(115)>+<TargetRelicsNum:ModRelicID(116)>+<TargetRelicsNum:ModRelicID(117)>+<TargetRelicsNum:ModRelicID(118)>+(<TargetRelicsNum:ModRelicID(10001)>*2)]","2"]}	[1,2,3,4,5,6,91,92]	0	["1"]	1
ModRelicID(106)	1	1	Relic_IcePlate	Relic_IcePlate		null	RelicDesc_IcePlate	1	5	0	0	0	[{"chance":1,"baseActions":[{"name":"DR_Adventure_UpdateData","values":["UniversalLearnset","1"]}]}]	[{"chance":1,"baseActions":[{"name":"DR_Adventure_UpdateData","values":["UniversalLearnset","0"]}]}]	GHS[ModHighActionID(22),0,1,0,null&ModHighActionID(6),1,1,0,null&1057,0,1,0,IceFlatDamageBoost!1,null]	null	null	null	null	100	40	0	1	1	{"name":"LessThan","values":["[<TargetRelicsNum:ModRelicID(101)>+<TargetRelicsNum:ModRelicID(102)>+<TargetRelicsNum:ModRelicID(103)>+<TargetRelicsNum:ModRelicID(104)>+<TargetRelicsNum:ModRelicID(105)>+<TargetRelicsNum:ModRelicID(106)>+<TargetRelicsNum:ModRelicID(107)>+<TargetRelicsNum:ModRelicID(108)>+<TargetRelicsNum:ModRelicID(109)>+<TargetRelicsNum:ModRelicID(110)>+<TargetRelicsNum:ModRelicID(111)>+<TargetRelicsNum:ModRelicID(112)>+<TargetRelicsNum:ModRelicID(113)>+<TargetRelicsNum:ModRelicID(114)>+<TargetRelicsNum:ModRelicID(115)>+<TargetRelicsNum:ModRelicID(116)>+<TargetRelicsNum:ModRelicID(117)>+<TargetRelicsNum:ModRelicID(118)>+(<TargetRelicsNum:ModRelicID(10001)>*2)]","2"]}	[1,2,3,4,5,6,91,92]	0	["1"]	1
ModRelicID(107)	1	1	Relic_DragonPlate	Relic_DragonPlate		null	RelicDesc_DragonPlate	1	5	0	0	0	[{"chance":1,"baseActions":[{"name":"DR_Adventure_UpdateData","values":["UniversalLearnset","1"]}]}]	[{"chance":1,"baseActions":[{"name":"DR_Adventure_UpdateData","values":["UniversalLearnset","0"]}]}]	GHS[ModHighActionID(22),0,1,0,null&ModHighActionID(7),1,1,0,null&1057,0,1,0,DragonFlatDamageBoost!1,null]	null	null	null	null	100	40	0	1	1	{"name":"LessThan","values":["[<TargetRelicsNum:ModRelicID(101)>+<TargetRelicsNum:ModRelicID(102)>+<TargetRelicsNum:ModRelicID(103)>+<TargetRelicsNum:ModRelicID(104)>+<TargetRelicsNum:ModRelicID(105)>+<TargetRelicsNum:ModRelicID(106)>+<TargetRelicsNum:ModRelicID(107)>+<TargetRelicsNum:ModRelicID(108)>+<TargetRelicsNum:ModRelicID(109)>+<TargetRelicsNum:ModRelicID(110)>+<TargetRelicsNum:ModRelicID(111)>+<TargetRelicsNum:ModRelicID(112)>+<TargetRelicsNum:ModRelicID(113)>+<TargetRelicsNum:ModRelicID(114)>+<TargetRelicsNum:ModRelicID(115)>+<TargetRelicsNum:ModRelicID(116)>+<TargetRelicsNum:ModRelicID(117)>+<TargetRelicsNum:ModRelicID(118)>+(<TargetRelicsNum:ModRelicID(10001)>*2)]","2"]}	[1,2,3,4,5,6,91,92]	0	["1"]	1
ModRelicID(108)	1	1	Relic_DarkPlate	Relic_DarkPlate		null	RelicDesc_DarkPlate	1	5	0	0	0	[{"chance":1,"baseActions":[{"name":"DR_Adventure_UpdateData","values":["UniversalLearnset","1"]}]}]	[{"chance":1,"baseActions":[{"name":"DR_Adventure_UpdateData","values":["UniversalLearnset","0"]}]}]	GHS[ModHighActionID(22),0,1,0,null&ModHighActionID(8),1,1,0,null&1057,0,1,0,DarkFlatDamageBoost!1,null]	null	null	null	null	100	40	0	1	1	{"name":"LessThan","values":["[<TargetRelicsNum:ModRelicID(101)>+<TargetRelicsNum:ModRelicID(102)>+<TargetRelicsNum:ModRelicID(103)>+<TargetRelicsNum:ModRelicID(104)>+<TargetRelicsNum:ModRelicID(105)>+<TargetRelicsNum:ModRelicID(106)>+<TargetRelicsNum:ModRelicID(107)>+<TargetRelicsNum:ModRelicID(108)>+<TargetRelicsNum:ModRelicID(109)>+<TargetRelicsNum:ModRelicID(110)>+<TargetRelicsNum:ModRelicID(111)>+<TargetRelicsNum:ModRelicID(112)>+<TargetRelicsNum:ModRelicID(113)>+<TargetRelicsNum:ModRelicID(114)>+<TargetRelicsNum:ModRelicID(115)>+<TargetRelicsNum:ModRelicID(116)>+<TargetRelicsNum:ModRelicID(117)>+<TargetRelicsNum:ModRelicID(118)>+(<TargetRelicsNum:ModRelicID(10001)>*2)]","2"]}	[1,2,3,4,5,6,91,92]	0	["1"]	1
